city,lat,lng,temp
Aguila,33.9428069,-113.1740805,95
Ajo,32.3717248,-112.8607099,95
Anthem,33.8652315,-112.1357339,95.5
Apache Junction,33.4150485,-111.5495777,93
Arizona City,32.7558935,-111.6709584,92.5
Arlington,33.3257096,-112.763764,99
Ash Fork,35.2250114,-112.4840675,71.5
Avondale,33.4355977,-112.3496021,98.5
Bagdad,34.5768849,-113.1764033,83
Bellemont,35.2380657,-111.8334974,65
Benson,31.9678611,-110.2945174,83
Bisbee,31.4481547,-109.9284084,75
Black Canyon,34.0774991,-112.1295121,87.5
Bouse,33.9325235,-114.0057748,100.5
Buckeye,33.3703197,-112.5837766,98.5
Camp Verde,34.5636358,-111.8543178,88.5
Carefree,33.8222611,-111.918203,92
Casa Grande,32.9110027,-111.7733902,96
Cave Creek,33.8333716,-111.9507042,92
Chandler,33.3061605,-111.8412502,96
Chino Valley,34.7575227,-112.4537809,80.5
Cibola,33.3164215,-114.664957,100
Clarkdale,34.7711319,-112.0579367,88
Claypool,33.4111659,-110.8426113,84
Congress,34.162526,-112.8507374,90
Coolidge,32.977839,-111.517624,93.5
Cordes Lakes,34.3138575,-112.1048218,83
Cornville,34.7177989,-111.9215438,88
Cottonwood,34.7391876,-112.0098791,88
Dateland,32.7972176,-113.5410267,99.5
Desert Hills,33.5920407,-111.8963565,98.5
Dewey-Humboldt,34.5056894,-112.2427894,79
Douglas,31.3445471,-109.5453447,81
Ehrenberg,33.6041914,-114.5252322,100
El Mirage,33.6130942,-112.3246042,97
Eloy,32.7558962,-111.554844,96
Flagstaff,35.1982836,-111.651302,70.5
Florence,33.0314508,-111.3873431,93.5
Forest Lakes,34.3421707,-110.8119498,69
Fort Mcdowell,33.6367105,-111.6745826,90
Fountain Hills,33.6042079,-111.7256936,98.5
Gadsden,32.5544974,-114.7849577,98.5
Gila Bend,32.9478236,-112.7168305,99
Gilbert,33.3528264,-111.789027,96
Glendale,33.5386523,-112.1859866,97
Globe,33.3942223,-110.7864984,84
Gold Canyon,33.3593407,-111.4500302,93
Goodyear,33.4353394,-112.3576567,98.5
Grand Canyon,36.0544445,-112.1401108,77.5
Guadalupe,33.3637335,-111.9631063,96
Happy Jack,34.7433546,-111.4073685,67
Hayden,33.0047878,-110.7853836,88
Hereford,31.4384325,-110.0978554,75
Holbrook,34.9022482,-110.1581768,78
Hotevilla,35.9277802,-110.6729158,78
Humboldt,34.5056894,-112.2427894,79
Jerome,34.7489107,-112.1137716,83.5
Joseph City,34.955996,-110.3313027,84.5
Keams Canyon,35.812506,-110.1951253,78
Kearney,33.0570085,-110.9106656,87.5
Kirkland,34.4316071,-112.7435171,77
Lake Havasu City,34.483901,-114.3224548,94
Lake Montezuma,34.6322449,-111.7779282,83
Las Brisas,33.4171748,-112.4559679,98.5
Laveen,33.3628227,-112.169317,101
Litchfield Park,33.4933743,-112.3579364,98.5
Littlefield,36.8872117,-113.9295939,96.5
Littlefield Park,36.8932862,-113.9182954,96.5
Maricopa,33.0581063,-112.0476423,101
Mayer,34.3978054,-112.2362734,83
Mesa,33.4151843,-111.8314724,96
Miami,33.3992217,-110.8687232,84
Morristown,33.8548374,-112.6203255,95.5
Munds Park,34.945574,-111.6401551,71.5
Naco,31.3353801,-109.9481297,75
New River,33.9158687,-112.1359906,92
Northern Arizona University,35.1804402,-111.6539683,70.5
Palo Verde,33.3483711,-112.6777087,98.5
Paradise Valley,33.5311541,-111.9426452,98.5
Parker,34.1500162,-114.2891177,100.5
Parks,35.2605664,-111.9487743,71
Paulden,34.8855756,-112.4682271,80.5
Payson,34.2308684,-111.3251355,82
Peeples Valley,34.2804495,-112.7549654,90
Peoria,33.5805955,-112.2373779,97
Petrified Forest National Park,35.065931,-109.78204,82
Phoenix,33.4483771,-112.0740373,101
Picacho,32.7131363,-111.4986544,93
Pine,34.3844739,-111.4551407,77
Pirtville,31.3570467,-109.561734,81
Prescott,34.5400242,-112.4685025,79
Prescott Valley,34.6100243,-112.315721,79
Quartzsite,33.6639137,-114.2299486,100
Queen Creek,33.2486083,-111.6345554,96
Queen Valley,33.2986656,-111.2895709,93
Red Rock,32.5730612,-111.3290006,93
Rimrock,34.640417,-111.7833524,83
Rio Verde,33.7225429,-111.6756942,90
Roosevelt,33.6675484,-111.1342893,68.5
Safford,32.8339546,-109.70758,87.5
Salome,33.7811416,-113.6146517,95
San Luis,32.4869996,-114.7821796,98.5
San Manuel,32.5997933,-110.6309289,88
San Tan Valley,33.177294,-111.5468301,93.5
Scottsdale,33.4941704,-111.9260519,96
Second Mesa,35.7933387,-110.505134,78
Sedona,34.8697395,-111.7609896,81
Seligman,35.3255608,-112.8774057,78
Show Low,34.2542084,-110.0298327,70
Sierra Vista,31.5455001,-110.2772856,76.5
Skull Valley,34.5039684,-112.6848712,77
Snowflake,34.5133698,-110.0784491,70
Somerton,32.5964404,-114.709677,98.5
Spring Valley,34.3450288,-112.1590486,83
Star Valley,34.2550351,-111.2584672,82
St Johns,34.5058698,-109.3609327,81
Strawberry,34.4078063,-111.4934754,68.5
Sun City,33.5975393,-112.2718239,97
Sun City West,33.6619819,-112.3412726,97
Sun Lakes,33.2181797,-111.8759103,96
Superior,33.293945,-111.0962305,93
Surprise,33.6292337,-112.3679279,97
Taylor,34.4650374,-110.0912265,70
Tempe,33.4255104,-111.9400054,96
Tolleson,33.4500425,-112.259321,98.5
Tombstone,31.7128683,-110.0675764,80
Tonopah,33.4934778,-112.9370802,99
Tonto Basin,33.8502345,-111.3104752,90
Tuba City,36.1349928,-111.2398625,88.5
Valley Farms,32.9883553,-111.4471218,93.5
Waddell,33.5757703,-112.4504235,98.5
Wahweap - Seligman,35.3255608,-112.8774057,78
Wenden,33.8225302,-113.5415936,95
