city,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,avg_temp
Aguila,AZ,Arizona,4013,Maricopa,33.9376,-113.1665,1240,304,polygon,FALSE,FALSE,America/Phoenix,3,85320,1840022918,95
Ajo,AZ,Arizona,4019,Pima,32.3923,-112.8839,3525,40,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840018107,95
Ak Chin,AZ,Arizona,4019,Pima,32.2873,-112.0091,33,24,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023059,92
Ak-Chin Village,AZ,Arizona,4021,Pinal,33.0197,-112.0808,1101,40,polygon,FALSE,FALSE,America/Phoenix,3,85139,1840018029,101
Alamo Lake,AZ,Arizona,4012,La Paz,34.2588,-113.5079,3,0,polygon,FALSE,TRUE,America/Phoenix,3,85357,1840075227,94.5
Ali Chuk,AZ,Arizona,4019,Pima,31.8169,-112.5584,120,32,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840023060,94
Ali Chukson,AZ,Arizona,4019,Pima,31.9114,-111.8018,107,19,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023061,92
Ali Molina,AZ,Arizona,4019,Pima,31.9025,-111.7804,63,31,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023062,92
Alpine,AZ,Arizona,4001,Apache,33.8461,-109.1432,86,55,polygon,FALSE,FALSE,America/Phoenix,3,85920,1840022617,64
Amado,AZ,Arizona,4023,Santa Cruz,31.6968,-111.0583,104,7,polygon,FALSE,FALSE,America/Phoenix,3,85645 85646,1840018172,79.5
Anegam,AZ,Arizona,4019,Pima,32.3742,-112.035,86,14,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023063,92.5
Antares,AZ,Arizona,4015,Mohave,35.4229,-113.8083,147,87,polygon,FALSE,FALSE,America/Phoenix,3,86401,1840023171,81
Anthem,AZ,Arizona,4013,Maricopa,33.856,-112.1168,22980,1121,polygon,FALSE,FALSE,America/Phoenix,3,85086,1840022919,95.5
Apache Junction,AZ,Arizona,4021,Pinal,33.3985,-111.5351,40538,446,polygon,FALSE,TRUE,America/Phoenix,3,85119 85120 85117 85178,1840019365,93
Arivaca,AZ,Arizona,4019,Pima,31.575,-111.2926,627,8,polygon,FALSE,FALSE,America/Phoenix,3,85601,1840023064,85
Arivaca Junction,AZ,Arizona,4019,Pima,31.739,-111.0738,1187,156,polygon,FALSE,FALSE,America/Phoenix,3,85645,1840023065,88.5
Arizona City,AZ,Arizona,4021,Pinal,32.7506,-111.6707,11030,694,polygon,FALSE,FALSE,America/Phoenix,3,85193 85123,1840018030,92.5
Arizona Village,AZ,Arizona,4015,Mohave,34.8548,-114.5893,1129,274,polygon,FALSE,FALSE,America/Phoenix,3,86440,1840018338,98.5
Arlington,AZ,Arizona,4013,Maricopa,33.3346,-112.7747,97,16,polygon,FALSE,FALSE,America/Phoenix,3,85322,1840022920,99
Ash Fork,AZ,Arizona,4025,Yavapai,35.2171,-112.4913,824,137,polygon,FALSE,FALSE,America/Phoenix,3,86320,1840017844,71.5
Avenue B and C,AZ,Arizona,4027,Yuma,32.7192,-114.6597,3444,1809,polygon,FALSE,TRUE,America/Phoenix,3,85364,1840075233,97.5
Avondale,AZ,Arizona,4013,Maricopa,33.3858,-112.3236,217192,716,polygon,FALSE,TRUE,America/Phoenix,2,85323 85392 85329,1840019310,98.5
Avra Valley,AZ,Arizona,4019,Pima,32.4195,-111.3393,5227,90,polygon,FALSE,FALSE,America/Phoenix,3,85653,1840027985,93
Aztec,AZ,Arizona,4027,Yuma,32.8082,-113.4428,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85333,1840022977,99.5
Bagdad,AZ,Arizona,4025,Yavapai,34.5771,-113.1771,1737,83,polygon,FALSE,FALSE,America/Phoenix,3,86321,1840017845,83
Bear Flat,AZ,Arizona,4007,Gila,34.2925,-111.0674,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027972,69
Beaver Dam,AZ,Arizona,4015,Mohave,36.9071,-113.9363,1587,72,polygon,FALSE,FALSE,America/Phoenix,3,86432,1840023172,96.5
Beaver Valley,AZ,Arizona,4007,Gila,34.3409,-111.2987,166,42,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075250,82
Benson,AZ,Arizona,4003,Cochise,31.9157,-110.3256,3824,44,polygon,FALSE,TRUE,America/Phoenix,3,85602 85630,1840019494,83
Beyerville,AZ,Arizona,4023,Santa Cruz,31.3921,-110.8748,219,253,polygon,FALSE,FALSE,America/Phoenix,3,85621,1840023119,84
Bisbee,AZ,Arizona,4003,Cochise,31.4126,-109.9178,5160,387,polygon,FALSE,TRUE,America/Phoenix,3,85603,1840019495,75
Bitter Springs,AZ,Arizona,4005,Coconino,36.6118,-111.6475,417,20,polygon,FALSE,FALSE,America/Denver,3,86040 86036,1840017661,78
Black Canyon City,AZ,Arizona,4025,Yavapai,34.0709,-112.122,2892,46,polygon,FALSE,FALSE,America/Phoenix,3,85324,1840017847,87.5
Blackwater,AZ,Arizona,4021,Pinal,33.0396,-111.5798,1653,35,polygon,FALSE,FALSE,America/Phoenix,3,85128,1840018031,93.5
Bluewater,AZ,Arizona,4012,La Paz,34.1681,-114.2667,875,162,polygon,FALSE,FALSE,America/Phoenix,3,85344,1840027986,100.5
Bouse,AZ,Arizona,4012,La Paz,33.8984,-113.9962,927,2,polygon,FALSE,FALSE,America/Phoenix,3,85325,1840017957,100
Bowie,AZ,Arizona,4003,Cochise,32.3247,-109.4842,337,76,polygon,FALSE,FALSE,America/Phoenix,3,85605,1840023084,84.5
Brenda,AZ,Arizona,4012,La Paz,33.6721,-113.9379,392,21,polygon,FALSE,FALSE,America/Phoenix,3,85348,1840022876,100
Bryce,AZ,Arizona,4009,Graham,32.9258,-109.8229,69,31,polygon,FALSE,FALSE,America/Phoenix,3,85543,1840022956,87.5
Buckeye,AZ,Arizona,4013,Maricopa,33.4314,-112.6429,68453,67,polygon,FALSE,TRUE,America/Phoenix,3,85326 85396,1840021939,98.5
