Location,Household Income(Annual),Year
Flagstaff,58808,2018
Goodyear,89959,2018
Surprise,70280,2018
Glendale,54789,2018
Scottsdale,88071,2018
Yuma,47929,2018
Peoria,72050,2018
Avondale,63242,2018
Phoenix,57957,2018
Mesa,58247,2018
Chandler,85527,2018
San Tan Valley,70339,2018
Tucson,43676,2018
Casas Adobes,62927,2018
Buckeye,68655,2018
Tempe,60330,2018
Gilbert,99866,2018
Avondale,55468,2017
Buckeye,74970,2017
Casas Adobes,65029,2017
Chandler,76860,2017
Flagstaff,56059,2017
Gilbert,84699,2017
Glendale,53753,2017
Goodyear,87481,2017
Mesa,55014,2017
Peoria,72142,2017
Phoenix,56696,2017
San Tan Valley,61599,2017
Scottsdale,88407,2017
Surprise,65898,2017
Tempe,51986,2017
Tucson,41613,2017
Yuma,50195,2017
Avondale,58404,2016
Casas Adobes,63407,2016
Chandler,75369,2016
Flagstaff,59658,2016
Gilbert,91576,2016
Glendale,51022,2016
Goodyear,73960,2016
Mesa,52393,2016
Peoria,68882,2016
Phoenix,52062,2016
San Tan Valley,58608,2016
Scottsdale,81381,2016
Surprise,60521,2016
Tempe,56365,2016
Tucson,40021,2016
Yuma,42731,2016
Avondale,54686,2015
Casas Adobes,54766,2015
Chandler,75562,2015
Flagstaff,51616,2015
Gilbert,86045,2015
Glendale,45812,2015
Goodyear,73164,2015
Mesa,49177,2015
Peoria,66308,2015
Phoenix,48452,2015
San Tan Valley,61441,2015
Scottsdale,75346,2015
Surprise,65688,2015
Tempe,51688,2015
Tucson,38155,2015
Yuma,43663,2015
Avondale,55664,2014
Casas Adobes,59882,2014
Chandler,73062,2014
Flagstaff,48407,2014
Gilbert,84153,2014
Glendale,46453,2014
Goodyear,69883,2014
Mesa,47675,2014
Peoria,66371,2014
Phoenix,47929,2014
San Tan Valley,65590,2014
Scottsdale,73387,2014
Surprise,58923,2014
Tempe,47118,2014
Tucson,36541,2014
Yuma,43322,2014
Avondale,51206,2013
Casas Adobes,53357,2013
Chandler,71545,2013
Flagstaff,52854,2013
Gilbert,81589,2013
Glendale,41037,2013
Goodyear,72219,2013
Mesa,47561,2013
Peoria,59377,2013
Phoenix,46601,2013
San Tan Valley,57005,2013
Scottsdale,69690,2013
Surprise,55857,2013
Tempe,48565,2013
Tucson,35720,2013
Yuma,44545,2013
