Location,Population,Year
Apache Junction,41739,2018
Avondale,85835,2018
Benson,4873,2018
Bisbee,5209,2018
Buckeye,74370,2018
Bullhead,40421,2018
Camp Verde,11239,2018
Carefree,3876,2018
Casa Grande,57232,2018
Cave Creek,5760,2018
Chandler,257165,2018
Chino Valley,12003,2018
Clarkdale,4393,2018
Clifton,3700,2018
Colorado,4857,2018
Coolidge,12993,2018
Cottonwood,12199,2018
Dewey-Humboldt,4106,2018
Douglas,15978,2018
Duncan,789,2018
Eagar,4899,2018
El Mirage,35670,2018
Eloy,19391,2018
Flagstaff,73964,2018
Florence,26419,2018
Fountain Hills,24987,2018
Fredonia,1300,2018
Gila Bend,2094,2018
Gilbert,248279,2018
Glendale,250702,2018
Globe,7346,2018
Goodyear,82835,2018
Guadalupe,6597,2018
Hayden,633,2018
Holbrook,5093,2018
Huachuca,1738,2018
Jerome,457,2018
Kearny,2145,2018
Kingman,30314,2018
Lake Havasu,55090,2018
Litchfield Park,6310,2018
Mammoth,1650,2018
Marana,47007,2018
Maricopa,50024,2018
Mesa,508958,2018
Miami,1774,2018
Nogales,20188,2018
Oro Valley,45395,2018
Page,7566,2018
Paradise Valley,14502,2018
Parker,3200,2018
Patagonia,881,2018
Payson,15710,2018
Peoria,172259,2018
Phoenix,1660272,2018
Pima,2512,2018
Pinetop-Lakeside,4433,2018
Prescott,43314,2018
Prescott Valley,45751,2018
Quartzsite,3766,2018
Queen Creek,42503,2018
Safford,9872,2018
Sahuarita,30282,2018
St. Johns,3517,2018
San Luis,33490,2018
Scottsdale,255310,2018
Sedona,10335,2018
Show Low,11321,2018
Sierra Vista,44420,2018
Snowflake,5858,2018
Somerton,16491,2018
South Tucson,5697,2018
Springerville,1982,2018
Star Valley,2303,2018
Superior,3141,2018
Surprise,138161,2018
Taylor,4262,2018
Tempe,192364,2018
Thatcher,5138,2018
Tolleson,7299,2018
Tombstone,1300,2018
Tucson,545975,2018
Tusayan,587,2018
Wellton,3030,2018
Wickenburg,7840,2018
Willcox,3534,2018
Williams,3226,2018
Winkelman,352,2018
Winslow,9427,2018
Young,6836,2018
Yuma,97908,2018
Phoenix,1626078,2017
Pima,2513,2017
Pinetop-Lakeside,4361,2017
Prescott,42731,2017
Prescott Valley,44466,2017
Quartzsite,3694,2017
Queen Creek,39184,2017
Safford,9641,2017
Sahuarita,29318,2017
St. Johns,3508,2017
San Luis,32446,2017
Scottsdale,249950,2017
Sedona,10336,2017
Show Low,11098,2017
Sierra Vista,42912,2017
Snowflake,5753,2017
Somerton,16120,2017
South Tucson,5643,2017
Springerville,1956,2017
Star Valley,2287,2017
Superior,3068,2017
Surprise,134085,2017
Taylor,4185,2017
Tempe,185038,2017
Thatcher,5021,2017
Tolleson,7205,2017
Tombstone,1296,2017
Tucson,535677,2017
Tusayan,583,2017
Wellton,2989,2017
Wickenburg,7409,2017
Willcox,3501,2017
Williams,3158,2017
Winkelman,347,2017
Winslow,9402,2017
Young,6760,2017
Yuma,95502,2017
Maricopa,48007,2017
Mesa,496401,2017
Miami,1771,2017
Nogales,20076,2017
Oro Valley,44350,2017
Page,7553,2017
Paradise Valley,14293,2017
Parker,3059,2017
Patagonia,880,2017
Payson,15520,2017
Peoria,168181,2017
Kingman,29472,2017
Lake Havasu,54411,2017
Litchfield Park,6009,2017
Mammoth,1611,2017
Marana,44792,2017
Bullhead,40252,2017
Camp Verde,11201,2017
Carefree,3783,2017
Casa Grande,55477,2017
Cave Creek,5622,2017
Chandler,253458,2017
El Mirage,35216,2017
Eloy,19168,2017
Flagstaff,71975,2017
Florence,26074,2017
Fountain Hills,24583,2017
Fredonia,1304,2017
Chino Valley,11705,2017
Clarkdale,4330,2017
Clifton,3680,2017
Colorado,4837,2017
Coolidge,12698,2017
Gila Bend,2069,2017
Gilbert,242354,2017
Glendale,246709,2017
Globe,7356,2017
Goodyear,79858,2017
Apache Junction,40538,2017
Avondale,84025,2017
Benson,4837,2017
Bisbee,5192,2017
Buckeye,68453,2017
Cottonwood,12023,2017
Dewey-Humboldt,4064,2017
Douglas,16165,2017
Duncan,788,2017
