installation_date,system_size,total_installed_price
5/29/2014,1,1806
6/27/2014,1,6120
4/17/2009,1,6300
1/23/2009,1,6939
5/2/2006,1,8500
4/28/2009,1,8979
1/20/2009,1,9111
12/17/2008,1,9540
6/20/2002,1,9592.49
5/16/2009,1,10764
7/19/2007,1,12825
8/20/2014,1.02,3100
4/26/2013,1.02,4080
8/12/2013,1.02,4284
8/29/2012,1.02,6557
2/19/2010,1.02,6750
7/31/2008,1.02,7158
2/17/2009,1.02,9099
2/16/2010,1.02,9215
1/20/2010,1.02,10000
9/15/2009,1.02,12694
9/29/2009,1.02,20383
10/8/2009,1.02,33000
1/9/2009,1.04,7008
12/15/2009,1.04,9416
7/13/2011,1.04,15273
9/23/2010,1.05,5092
1/4/2011,1.05,5197.5
4/27/2009,1.05,6200
4/17/2009,1.05,6300
4/29/2011,1.05,6300
9/22/2004,1.05,7000
5/9/2006,1.05,7795.88
9/30/2009,1.05,9247
2/10/2012,1.05,9800
9/13/2010,1.05,10055
9/12/2011,1.05,10500
3/21/2006,1.05,10666.41
12/29/2008,1.05,10719.33
1/20/2009,1.05,10719.33
12/29/2008,1.05,10719.33
2/4/2009,1.05,17978.48
9/15/2017,1.06,3500
4/13/2018,1.06,4030
5/10/2018,1.06,4030
3/23/2018,1.06,4030
5/10/2018,1.06,4030
5/9/2018,1.06,4030
5/10/2018,1.06,4030
5/9/2018,1.06,4030
3/8/2018,1.06,4030
4/13/2018,1.06,4030
5/9/2018,1.06,4030
5/10/2018,1.06,4030
4/13/2018,1.06,4030
5/10/2018,1.06,4030
8/15/2018,1.06,4030
5/10/2018,1.06,4030
6/2/2016,1.06,8021.25
12/15/2014,1.06,10000
9/9/1999,1.075,5508
12/6/2010,1.08,7985
11/2/2009,1.08,8384.38
12/8/2011,1.08,8640
4/24/2013,1.08,10093
6/23/2011,1.08,10900
5/28/2014,1.08,31740
4/16/2010,1.1,7100
10/12/2010,1.1,7809
4/6/2010,1.1,7970
12/20/2010,1.1,8294
11/15/2010,1.1,8409
2/3/2010,1.1,8718
5/24/2010,1.1,8917
10/25/2010,1.1,8967
12/8/2010,1.1,9645
8/25/2010,1.1,9927
11/12/2010,1.1,9944
9/17/2010,1.1,9967
8/6/2010,1.1,9967
9/10/2010,1.1,9967
8/24/2010,1.1,9967
12/20/2010,1.1,9967
9/15/2010,1.1,10517
6/2/2010,1.1,10967
9/8/2010,1.1,10967
8/24/2010,1.1,10967
3/22/2011,1.1,15459
11/12/2014,1.11,14833.6
8/23/2007,1.116,9922.42
5/6/2011,1.12,3734.4
11/3/2015,1.12,6133
12/15/2011,1.125,6250
8/15/2011,1.125,7460
2/10/2011,1.125,9750
6/26/2009,1.125,23264.45
8/16/2011,1.125,27495
4/16/2013,1.13,9500
8/14/2013,1.14,6782
1/13/2010,1.14,17865
2/13/2012,1.15,5000
6/16/2010,1.15,6661
2/25/2010,1.15,8568
8/6/2013,1.15,9890
4/22/2011,1.15,12138
5/13/2011,1.15,12933
6/2/2011,1.15,14138
2/19/2014,1.16,4867.8
1/22/2009,1.17,17500
4/25/2011,1.175,4200
5/7/2013,1.175,5893.08
1/19/2011,1.175,9500
11/16/2017,1.18,3540
8/26/2010,1.19,5723
2/4/2008,1.19,10798.43
8/19/2013,1.2,4350
12/21/2012,1.2,6945
8/8/2012,1.2,7337
12/6/2011,1.2,7553
7/28/2004,1.2,8400
9/3/2009,1.2,9450
5/16/2014,1.2,9839
11/16/2018,1.22,2662
1/17/2008,1.225,8086.4
1/12/2010,1.225,8582.9
4/27/2005,1.225,9832.65
4/13/2004,1.225,10097.49
8/18/2009,1.24,7000
7/17/2009,1.248,8865.14
4/4/2014,1.25,5630
5/12/2014,1.25,5630
4/27/2015,1.25,5630
1/22/2014,1.25,5630
6/26/2014,1.25,5630
5/26/2015,1.25,5630
4/16/2014,1.25,5630
10/9/2014,1.25,5630
12/17/2013,1.25,5630
11/4/2014,1.25,5630
4/28/2014,1.25,5630
2/25/2015,1.25,5630
10/25/2013,1.25,5630
10/25/2013,1.25,5630
9/8/2014,1.25,5630
4/24/2014,1.25,5630
5/9/2014,1.25,5630
7/21/2014,1.25,5630
1/29/2014,1.25,5630
3/27/2014,1.25,5630
5/21/2014,1.25,5630
10/9/2014,1.25,5630
8/21/2014,1.25,5630
1/22/2014,1.25,5630
10/17/2014,1.25,5630
12/10/2014,1.25,5630
12/10/2014,1.25,5630
7/24/2014,1.25,5630
12/30/2014,1.25,5630
12/30/2014,1.25,5630
12/4/2014,1.25,5630
2/28/2014,1.25,5630
5/9/2014,1.25,5630
1/29/2014,1.25,5630
5/30/2014,1.25,5630
3/13/2014,1.25,5630
4/4/2014,1.25,5630
3/18/2015,1.25,5630
5/15/2014,1.25,5630
8/4/2014,1.25,5630
5/30/2014,1.25,5630
9/23/2014,1.25,5630
5/21/2014,1.25,5630
12/17/2014,1.25,5630
3/23/2015,1.25,5630
2/6/2015,1.25,5630
1/22/2014,1.25,5630
3/7/2014,1.25,5630
1/29/2014,1.25,5630
6/5/2014,1.25,5630
9/8/2014,1.25,5630
8/15/2014,1.25,5630
12/17/2014,1.25,5630
9/23/2014,1.25,5630
3/27/2014,1.25,5630
4/27/2015,1.25,5630
5/21/2014,1.25,5630
7/28/2014,1.25,5630
2/28/2014,1.25,5630
11/20/2014,1.25,5630
3/20/2014,1.25,5630
2/2/2015,1.25,5630
2/28/2014,1.25,5630
