id,name,aka,country
1,Sharp,,
2,Applied Solar,,
3,BP Solar,,
4,CertainTeed,,
5,Global Solar Energy,,
6,Solar Integrated Technologies,,
7,SunPower,,
8,Suntech Power,,
9,United Solar Ovonic,,
11,Fronius USA,,
12,Open Energy Corporation,,
13,Perfect Galaxy,,
14,PV Powered,,
16,Schuco USA,,
19,Xantrex Technology,,
20,1Soltech,,
21,Abound Solar,,
22,Advance Solar Hydro Wind Power,,
23,Aleo Solar,,
24,American Solar Wholesale,,
25,Amerisolar-Worldwide Energy and Manufacturing USA Co ,,
26,Andalay Solar,,
27,Antaris Solar,,
28,Apollo Solar Energy,,
29,Astronergy Solarmodule,,
30,ASUN Energy,,
31,Atlantis Energy,,
32,AU Optronics,,
33,Auxin Solar,,
34,Avancis,,
35,Axitec,,
36,Bluechip Energy,,
37,Bosch Solar Energy,,
38,Boviet Solar Technology,,
39,BYD Company,,
40,Canadian Solar,,
41,Caterpillar,,
42,Centrosolar America,,
43,CentroSolar Sonnenstromfabrik,,
44,Changzhou Trina Solar Energy,,
45,China Sunergy (Nanjing),,
46,Chint Solar (Zhejiang) Co,,
47,CNPV Dongying Solar Power,,
48,Conergy,,
49,CSUN,,
50,Day4 Energy,,
51,DelSolar,,
52,AccuSolar Power,,
53,Ecosolargy,,
54,Ningbo Solar Electric Power,,
55,Kyocera Solar,,
56,Isofoton,,
57,Kaneka,,
59,Schott Solar,,
60,Evergreen Solar,,
61,First Solar,,
62,SunWize Technologies,,
63,Panasonic,,
66,SolarWorld,,
67,Mitsubishi Electric,,
68,EPV SOLAR,,
69,REC Solar,,
70,Hanwha SolarOne (Qidong),,
71,REC ScanModule,,
72,Shanghai JA Solar Technology,,
73,Photowatt Ontario,,
74,Zhongli Talesun Solar,,
75,Zhejiang Jiutai New Energy,,
76,Yingli Green Energy,,
77,Worldwide Energy & Manufacturing USA,,
78,Westinghouse Solar,,
79,Vina Solar Technology Co,,
80,Vikram Solar,,
81,USOL Energy,,
82,Upsolar,,
83,Unicor Federal Prison Industries,,
84,T-Solar Global,,
85,TSMC Solar,,
86,Trina Solar,,
87,Topsun,,
88,Titan Energy Systems,,
89,Thaisun Green Energy,,
90,TenKsolar,,
91,Talesun Solar,,
92,Symphony Energy,,
93,Sunspark Technology,,
94,Sunpreme,,
95,Sunperfect Solar,,
96,Suniva,,
97,SUNGEN International,,
98,SunEdison,,
99,Sun World Solar Energy Technology (Luoyang),,
100,Sun Earth Solar Power,,
102,Stion,,
103,Solyndra,,
105,Solarzentrum Allgau,,
106,Solartec,,
107,Solaria,,
108,SolarCity,,
109,Solar Power (SPI),,
110,Solar Frontier,,
111,Siliken,"Siliken Modules,Siliken Manufacturing USA,Siliken Canada",
113,Silfab,,
112,Silevo,,
114,Shanghai Chaori Solar Energy Science & Technology,,
115,Shanghai Alex Solar Energy Science & Technology,,
116,Shandong Linuo Photovoltaic Hi-Tech,,
117,Seraphim Solar System,,
118,S-Energy Co,S-ENERGY,
119,Scheuten Solar USA,,
120,Samsung SDI,,
121,Renogy,,
122,Renesola,"Renesola Jiangsu,Renesola America",
123,Recom,,
15,Schneider Electric,Schneider Electric Solar Inverters USA,
125,Prism Solar Technologies,,
126,Phono Solar Technology,,
127,Perlight Solar,,
128,PEIMAR,,
129,Ningbo Maxsolar,,
130,"Nexpower Technology
",,
131,Neo Solar Power,,
132,Motech Industries,Motech Americas,
133,Mission Solar Energy,,
134,MiaSole,,
135,MEMC Singapore,,
104,Lumos,,
136,Mage Solar,Mage Solar USA,
