,City,State,Longitude,Latitude,Temp(F)
2,AJO,AZ,-112.8599,32.3698,95
58,ALAMO DAM,AZ,-113.5777,34.228,94.5
51,ALPINE,AZ,-109.1469,33.8492,64
22,ANVIL RANCH,AZ,-111.3837,31.9793,88.5
91,APACHE JUNCTION,AZ,-111.4813,33.4625,93
204, CITY,AZ,-111.6917,32.7306,92.5
63,BAGDAD,AZ,-113.1745,34.5975,83
188,BAKER BUTTE,AZ,-111.41,34.46,68.5
176,BALDY,AZ,-109.5,33.98,63
200,BAR M,AZ,-111.61,34.86,71.5
49,BARTLETT DAM,AZ,-111.6497,33.8097,90
12,BEAVER DAM,AZ,-113.9423,36.9139,96.5
178,BEAVER HEAD,AZ,-109.22,33.69,64.5
196,BEAVER SPRING,AZ,-109.06,36.33,70
203,BELLEMONT WFO,AZ,-111.8221,35.2302,65
95,BENSON,AZ,-110.2403,31.8805,83
84,BETATAKIN,AZ,-110.5411,36.6778,77.5
90,BISBEE,AZ,-109.9288,31.4475,75
111,BLACK HILLS,AZ,-109.9506,33.0867,89.5
40,BLACK RIVER PUMPS,AZ,-109.7516,33.4783,72.5
112,BLACK ROCK,AZ,-113.7567,36.7944,75.5
64,BLUE RIDGE RANGER STATION,AZ,-111.1922,34.6108,74
115,BRIGHT ANGEL ,AZ,-112.0622,36.2047,74
83,BRIGHT ANGEL RS,AZ,-112.0619,36.2147,72.5
113,BUCKSKIN MOUNTAIN ,AZ,-112.1997,36.9306,81
77,BULLHEAD CITY,AZ,-114.5686,35.1411,100
3,CANYON DE CHELLY,AZ,-109.5394,36.1533,81.5
50,CAREFREE,AZ,-111.9019,33.8161,92
114,CARR ,AZ,-110.28,31.445,80
36,CASA GRANDE NATL MONUMENT,AZ,-111.5367,32.9947,93.5
27,CASCABEL,AZ,-110.34803,32.26174,84.5
215,CATALINA STATE PARK,AZ,-110.9302,32.4177,87.5
201,CHALENDER,AZ,-112.06,35.26,71
116,CHERRY ,AZ,-112.0481,34.5964,79
70,CHINO VALLEY,AZ,-112.4567,34.7569,80.5
117,CHIRICAHUA,AZ,-109.35,32,78.5
118,COLUMBINE,AZ,-109.9139,32.7039,59.5
60,CORDES,AZ,-112.165,34.305,83
13,CORONADO NATIONAL MEMORIAL,AZ,-110.2541,31.3455,76.5
179,CORONADO TRAIL,AZ,-109.15,33.8,61
119,CROWN KING,AZ,-112.3333,34.2083,77
106,DESTINY RANCH,AZ,-110.7313,32.2844,91.5
202,DIAMOND M. RANCH,AZ,-113.3666,35.2947,77
99,DOUGLAS,AZ,-109.5394,31.345,81
100,DOUGLAS (BISBEE) INTL AP,AZ,-109.6061,31.4583,82
120,DRY LAKE,AZ,-109.8331,33.3597,74
121,DRY PARK,AZ,-112.24,36.45,69
33,DUNCAN,AZ,-109.1213,32.748,83.5
206,MESA,AZ,-111.6444,33.4191,96
208,ELGIN,AZ,-110.5087,31.5907,76.5
122,EMPIRE,AZ,-110.6347,31.7806,80
124,FLAGSTAFF,AZ,-111.675,35.145,70.5
4,FORT VALLEY,AZ,-111.7428,35.2681,66.5
125,FOUR SPRINGS,AZ,-112.0422,36.7939,79.5
126,FRAZIER WELLS,AZ,-113.055,35.8456,76
185,FRY,AZ,-111.84,35.07,69.5
214,FT HUACHUCA PIONEER AIRFIELD,AZ,-110.42806,31.60722,80
127,GLOBE ,AZ,-110.6519,33.3503,84
128,GOODWIN MESA,AZ,-113.3,34.75,85
108,GRAND CANYON VISITOR CENTER,AZ,-112.1098,36.0597,77.5
94,GREEN VALLEY,AZ,-110.9977,31.893,88.5
129,GREER,AZ,-109.45,34.06,68
130,GUNSIGHT,AZ,-112.5833,36.7044,84.5
131,GUTHRIE ,AZ,-109.3092,32.8819,77.5
180,HANNAGAN MEADOWS,AZ,-109.31,33.65,61.5
187,HAPPY JACK,AZ,-111.41,34.75,69.5
67,HAPPY JACK RS,AZ,-111.4139,34.7433,67
132,HAVASU ,AZ,-114.5617,34.7872,98.5
182,HEBER,AZ,-110.75,34.31,M
61,HEBER (BLACK MESA) RANGER STATION,AZ,-110.558,34.3925,71.5
133,HEBER ,AZ,-110.5644,34.3978,73.5
134,HILLTOP ,AZ,-110.42,33.6183,73.5
136,HOPI ,AZ,-110.2069,35.8103,78
137,HOPKINS ,AZ,-110.88,31.6753,77.5
135,HORSE CAMP CANYON ,AZ,-110.4961,32.9375,88
138,HUMBUG CREEK ,AZ,-112.3006,34.1164,83
139,HURRICANE ,AZ,-113.2072,36.6992,83.5
140,IRON SPRINGS ,AZ,-112.5019,34.5853,77
69,JEROME,AZ,-112.1114,34.7522,83.5
216,KARTCHNER CAVERNS,AZ,-110.3552,31.8352,77.5
101,KINGMAN AIRPORT,AZ,-113.933,35.2577,87.5
92,LAKE HAVASU CITY,AZ,-114.3604,34.5031,94
141,LAKESIDE ,AZ,-109.98,34.16,73.5
143,LIMESTONE CANYON ,AZ,-110.2736,34.1789,74
142,LINDBERGH HILL ,AZ,-112.0794,36.2858,68
41,LITCHFIELD PARK,AZ,-112.363,33.4991,98.5
177,MAVERICK FORK,AZ,-109.46,33.92,61.5
53,MC NARY,AZ,-109.8588,34.1141,68
17,MC NEAL,AZ,-109.6686,31.6016,85
