meta/uid,meta/ll/0,meta/ll/1,meta/sids/0,meta/sids/1,meta/sids/2,meta/sids/3,meta/state,meta/elev,meta/name,data/0,meta/sids/4,meta/sids/5,meta/sids/6,meta/sids/7,meta/sids/8
6,-112.15472,35.94611,03195 1,GCN 3,KGCN 5,USW00003195 6,AZ,6606,GRAND CANYON NATIONAL PARK AP,70.5,,,,,
7,-109.37917,34.51833,93027 1,SJN 3,KSJN 5,USW00093027 6,AZ,5733,ST JOHNS INDUSTRIAL AIR PARK,81,,,,,
169,-112.8599,32.3698,020080 2,USC00020080 6,AJOA3 7,,AZ,1751,AJO,95,,,,,
171,-109.5394,36.1533,021248 2,021634 2,USC00021248 6,USC00021634 6,AZ,5610,CANYON DE CHELLY,81.5,CHNA3 7,,,,
174,-111.7428,35.2681,023160 2,USC00023160 6,FLGA3 7,,AZ,7347,FORT VALLEY,66.5,,,,,
183,-114.2908,34.1547,026250 2,USC00026250 6,PARA3 7,,AZ,420,PARKER,100.5,,,,,
184,-112.4322,34.5706,026796 2,USC00026796 6,PSTA3 7,,AZ,5205,PRESCOTT,79,,,,,
188,-109.6808,32.815,93079 1,027390 2,E74 3,USC00027390 6,AZ,2954,SAFFORD AGRICULTURAL CENTER,87.5,SAFA3 7,E74 7,,,
189,-109.4028,34.5172,027435 2,USC00027435 6,STJA3 7,,AZ,5790,SAINT JOHNS,80,,,,,
190,-112.8797,35.3322,027716 2,USC00027716 6,SELA3 7,,AZ,5250,SELIGMAN,78,,,,,
191,-110.0686,31.7119,028619 2,USC00028619 6,TOMA3 7,,AZ,4659,TOMBSTONE,80,,,,,
195,-112.1929,35.2413,029359 2,USC00029359 6,WLLA3 7,,AZ,6909,WILLIAMS,71.5,,,,,
394,-113.9423,36.9139,020672 2,020671 2,024995 2,USC00020672 6,AZ,1931,BEAVER DAM,96.5,USC00020671 6,USC00024995 6,BEVA3 7,LITA3 7,
1218,-110.2541,31.3455,022140 2,USC00022140 6,HRFA3 7,,AZ,5242,CORONADO NATIONAL MEMORIAL,76.5,,,,,
1223,-110.968,31.4554,025924 2,USC00025924 6,NOGA3 7,,AZ,3461,NOGALES 6 N,82.5,,,,,
1235,-111.5436,31.483,027619 2,USC00027619 6,SASA3 7,,AZ,3590,SASABE,84.5,,,,,
1242,-111.0497,31.5677,028865 2,USC00028865 6,TUMA3 7,,AZ,3267,TUMACACORI NM,79.5,,,,,
1244,-109.6686,31.6016,025418 2,024864 2,USC00025418 6,USC00024864 6,AZ,4170,MC NEAL,85,MCNA3 7,,,,
1255,-109.2056,31.8834,026716 2,026186 2,USC00026716 6,USC00026186 6,AZ,5390,PORTAL 4 SW,74,PRTA3 7,,,,
1261,-109.2187,31.9352,026242 2,USC00026242 6,PDSA3 7,,AZ,5460,PARADISE,73.5,,,,,
1263,-109.8377,31.9355,026353 2,USC00026353 6,SNSA3 7,,AZ,4350,PEARCE - SUNSITES,81.5,,,,,
1267,-112.8002,31.9555,026132 2,USC00026132 6,ORGA3 7,,AZ,1678,ORGAN PIPE CACTUS NM,94,,,,,
1273,-111.3837,31.9793,020287 2,USC00020287 6,ANVA3 7,,AZ,2759,ANVIL RANCH,88.5,,,,,
1274,-111.59787,31.96018,024675 2,USC00024675 6,KITA3 7,,AZ,6790,KITT PEAK,M,,,,,
1284,-110.7363,32.1794,027398 2,USC00027398 6,SGUA3 7,,AZ,3080,SAGUARO NATIONAL PARK,88.5,,,,,
1289,-109.22691,32.29329,027560 2,USC00027560 6,SSMA3 7,,AZ,3580,SAN SIMON,84.5,,,,,
1295,-109.8369,32.2553,029334 2,USC00029334 6,WILA3 7,,AZ,4170,WILLCOX,81.5,,,,,
1297,-110.34803,32.26174,021330 2,020690 2,USC00021330 6,USC00020690 6,AZ,3194,CASCABEL,84.5,BENA3 7,,,,
1310,-110.75454,32.4487,025732 2,USC00025732 6,LEMA3 7,,AZ,7886,MT. LEMMON FIRE DEPT,67,,,,,
1319,-110.62908,32.60135,027530 2,USC00027530 6,SMNA3 7,,AZ,3420,SAN MANUEL,88,,,,,
1322,-111.713,33.6027,023190 2,USC00023190 6,FHLA3 7,,AZ,1580,FOUNTAIN HILLS,M,,,,,
