id,name,coord/lat,coord/lon,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,dt,wind/speed,wind/deg,sys/country,rain,snow,clouds/all,weather/0/id,weather/0/main,weather/0/description,weather/0/icon
5317377,Three Points,32.08,-111.31,57.72,45.81,55,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5552323,Avra Valley,32.44,-111.32,57.74,45.82,55,60.01,1018,32,1581182160,13.87,100,US,,,1,800,Clear,clear sky,01d
5308778,Picture Rocks,32.35,-111.25,57.72,45.81,55,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5313737,Sells,31.91,-111.88,59.05,54.18,57.99,60.01,1019,34,1581182154,1.99,76,US,,,0,800,Clear,clear sky,01d
5308878,Pima County,32,-112,60.01,55.26,60.01,60.01,1019,34,1581182154,1.99,76,US,,,0,800,Clear,clear sky,01d
5303705,Marana,32.44,-111.23,57.74,45.82,55,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
7262440,Valencia West,32.13,-111.11,58.21,48.99,55,61,1019,32,1581182257,9.17,140,US,,,1,800,Clear,clear sky,01d
5318320,Tucson Estates,32.19,-111.09,57.67,48.38,53.6,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5293183,Drexel Heights,32.14,-111.03,57.7,48.43,53.6,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5551665,Arizona City,32.76,-111.67,55.78,47.91,48.2,60.01,1020,29,1581182160,5.82,110,US,,,90,804,Clouds,overcast clouds,04d
5294167,Eloy,32.76,-111.55,56.57,48.78,48.2,60.01,1020,29,1581182154,5.82,110,US,,,90,804,Clouds,overcast clouds,04d
5294937,Flowing Wells,32.29,-111.01,57.63,48.34,53.6,60.01,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5288661,Casas Adobes,32.32,-111,57.63,45.7,53.6,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5317867,Tortolita,32.41,-111.02,57.63,45.7,53.6,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5315313,South Tucson,32.2,-110.97,57.61,48.33,53.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
7723146,Las Palmes Mobile Home Park,32.12,-110.96,58.03,51.31,53.6,61,1018,32,1581182279,4.7,120,US,,,1,800,Clear,clear sky,01d
5307540,Oro Valley,32.39,-110.97,57.65,45.72,53.6,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5316172,Summit,32.07,-110.95,57.6,48.31,53.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5318313,Tucson,32.22,-110.93,57.61,48.33,53.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5288786,Catalina Foothills,32.3,-110.92,57.65,48.36,53.6,60.01,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5312544,Sahuarita,31.96,-110.96,57.22,47.89,51.8,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5319417,Vandenberg Village,32.18,-110.87,57.65,48.36,53.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5288636,Casa Grande,32.88,-111.76,57.13,49.59,50,62.01,1020,31,1581182154,5.82,110,US,,,90,804,Clouds,overcast clouds,04d
5296802,Green Valley,31.85,-110.99,57.18,47.84,51.8,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5293796,East Sahuarita,31.94,-110.93,57.16,47.82,51.8,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5288784,Catalina,32.51,-110.92,57.65,45.72,53.6,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5307464,Oracle Junction,32.56,-110.93,57.67,45.73,53.6,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5551650,Arivaca Junction,31.73,-111.06,57.42,48.11,51.8,61,1019,32,1581182160,9.17,140,US,,,1,800,Clear,clear sky,01d
5290663,Coolidge,32.98,-111.52,57.25,49.53,50,62.01,1020,29,1581182154,5.82,110,US,,,90,804,Clouds,overcast clouds,04d
5316890,Tanque Verde,32.25,-110.74,57.61,48.33,53.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5290925,Corona de Tucson,31.97,-110.78,57.06,47.71,51.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5308916,Pinal County,33,-111.52,57.36,49.66,50,62.01,1020,29,1581182154,5.82,110,US,,,90,804,Clouds,overcast clouds,04d
5318288,Tubac,31.61,-111.05,57.09,48.88,51.8,61,1020,24,1581182154,5.82,50,US,,,1,800,Clear,clear sky,01d
5319311,Vail,32.05,-110.71,57.29,47.97,52,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
5285857,Blackwater,33.03,-111.58,57.38,49.68,50,62.01,1020,29,1581182154,5.82,110,US,,,90,804,Clouds,overcast clouds,04d
5307460,Oracle,32.61,-110.77,57.69,45.75,53.6,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5294902,Florence,33.03,-111.39,57.25,51.04,50,62.01,1018,29,1581182154,3.13,121,US,,,1,800,Clear,clear sky,01d
5312393,Sacaton,33.08,-111.74,57.6,51.42,53.6,62.01,1018,29,1581182154,3.13,121,US,,,1,800,Clear,clear sky,01d
5303752,Maricopa,33.06,-112.05,57.04,51.19,51.8,62.01,1018,31,1581182154,2.77,92,US,,,1,800,Clear,clear sky,01d
5288629,Casa Blanca,33.12,-111.89,57.11,51.28,51.8,62.01,1018,31,1581182154,2.77,92,US,,,1,800,Clear,clear sky,01d
5312933,San Manuel,32.6,-110.63,57.76,45.84,55,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5311433,Rio Rico,31.47,-110.98,57.33,49.14,51.01,61,1020,24,1581182154,5.82,50,US,,,1,800,Clear,clear sky,01d
5297410,Harrington Place,32.04,-110.55,56.84,47.46,51.01,61,1019,32,1581182154,9.17,140,US,,,1,800,Clear,clear sky,01d
7310164,San Tan Valley,33.19,-111.53,57.52,51.33,51.8,62.01,1018,29,1581182268,3.13,121,US,,,1,800,Clear,clear sky,01d
5303587,Mammoth,32.72,-110.64,57.83,45.91,55,60.01,1018,32,1581182154,13.87,100,US,,,1,800,Clear,clear sky,01d
5316209,Sun Lakes,33.21,-111.88,57.15,51.31,51.8,62.01,1018,31,1581182154,2.77,92,US,,,1,800,Clear,clear sky,01d
5310193,Queen Creek,33.25,-111.63,57.51,51.31,51.8,62.01,1018,29,1581182154,3.13,121,US,,,1,800,Clear,clear sky,01d
5550996,Ajo,32.37,-112.86,59.34,52.95,53.6,64.99,1017,40,1581182160,5.82,30,US,,,1,800,Clear,clear sky,01d
5300854,Kearny,33.06,-110.91,59.4,53.64,57,62.01,1016,36,1581182154,4,186,US,,,0,800,Clear,clear sky,01d
5304488,Mescal,31.99,-110.44,56.68,49.32,51.01,61,1020,28,1581182154,4.9,118,US,,,1,800,Clear,clear sky,01d
