id,name,coord/lat,coord/lon,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,dt,wind/speed,wind/deg,sys/country,rain,snow,clouds/all,weather/0/id,weather/0/main,weather/0/description,weather/0/icon
7723170,Desert Royal Mobile Park,32.67,-114.62,58.06,50.86,53.6,61,1016,27,1581182279,4.7,50,US,,,1,800,Clear,clear sky,01d
5322053,Yuma,32.73,-114.62,57,47.48,48.2,64.99,1016,37,1581182154,10.29,150,US,,,1,800,Clear,clear sky,01d
3998214,Los Algodones,32.7,-114.73,54.88,45.1,48.2,61,1016,37,1581182102,10.29,150,MX,,,1,800,Clear,clear sky,01d
5315062,Somerton,32.6,-114.71,56.77,47.23,48.2,64.99,1016,37,1581182154,10.29,150,US,,,1,800,Clear,clear sky,01d
5295143,Fortuna Foothills,32.66,-114.41,57.76,48.34,51.8,64.99,1016,37,1581182154,10.29,150,US,,,1,800,Clear,clear sky,01d
3979546,Ciudad Morelos,32.63,-114.86,54.68,44.89,48.2,61,1016,37,1581182101,10.29,150,MX,,,1,800,Clear,clear sky,01d
5312913,San Luis,32.49,-114.78,56.64,47.08,48.2,64.99,1016,37,1581182154,10.29,150,US,,,1,800,Clear,clear sky,01d
3985604,San Luis Rio Colorado,32.46,-114.78,54.73,44.94,48.2,61,1016,37,1581182101,10.29,150,MX,,,1,800,Clear,clear sky,01d
4011587,Hermosillo,32.51,-114.92,54.59,44.78,48.2,61,1016,37,1581182102,10.29,150,MX,,,1,800,Clear,clear sky,01d
3982215,Tecolots,32.57,-114.98,54.34,44.51,48.2,61,1016,37,1581182101,10.29,150,MX,,,1,800,Clear,clear sky,01d
3971762,Ejido Reforma Agraria,32.36,-114.42,55.69,46,51.8,61,1016,37,1581182101,10.29,150,MX,,,1,800,Clear,clear sky,01d
5320160,Wellton,32.67,-114.15,57.78,48.36,51.8,64.99,1016,37,1581182154,10.29,150,US,,,1,800,Clear,clear sky,01d
3971761,Aquiles Serdán,32.34,-114.32,55.71,46.04,51.8,61,1016,37,1581182101,10.29,150,MX,,,1,800,Clear,clear sky,01d
6942831,Mexicali,32.51,-115.15,56.01,48.61,48.2,60.8,1016,27,1581182254,4.7,50,MX,,,1,800,Clear,clear sky,01d
3971760,Ignacio Zaragoza,32.3,-114.18,55.76,46.09,51.8,61,1016,37,1581182101,10.29,150,MX,,,1,800,Clear,clear sky,01d
3979563,Islas Agrarias Grupo B,32.6,-115.27,50.83,45.39,46.4,53.6,1016,50,1581182101,3.53,153,MX,,,1,721,Haze,haze,50d
3979505,Guadalupe Victoria,32.29,-115.11,51.21,45.16,48.2,53.6,1016,70,1581182101,7.43,147,MX,,,5,800,Clear,clear sky,01d
3979510,Delta,32.35,-115.19,51.03,43.43,46.4,53.6,1016,50,1581182101,7.43,147,MX,,,1,721,Haze,haze,50d
3979494,Estacion Coahuila,32.19,-115,51.33,43.32,48.2,53.6,1017,53,1581182101,8.63,145,MX,,,1,800,Clear,clear sky,01d
4011469,Puebla,32.56,-115.35,50.25,44.74,46.4,53.6,1016,50,1581182102,3.53,153,MX,,,1,721,Haze,haze,50d
5357598,Holtville,32.81,-115.38,52.84,46.08,46.4,61,1016,50,1581182154,6.42,137,US,,,1,721,Haze,haze,50d
3979497,Alberto Oviedo Mota,32.23,-115.17,48.2,40.91,48.2,48.2,1016,70,1581182101,8.63,145,MX,,,5,800,Clear,clear sky,01d
3996069,Mexicali,32.65,-115.47,52.59,47.41,46.4,61,1016,50,1581182102,3.53,153,MX,,,1,721,Haze,haze,50d
5322057,Yuma County,32.75,-113.77,58.51,49.19,51.8,64.99,1016,37,1581182154,10.29,150,US,,,1,800,Clear,clear sky,01d
5332698,Calexico,32.68,-115.5,52.63,47.44,46.4,61,1016,50,1581182154,3.53,153,US,,,1,721,Haze,haze,50d
5359067,Imperial County,33.03,-115.42,54.28,47.73,46.4,61,1016,50,1581182154,6.42,137,US,,,1,721,Haze,haze,50d
5356096,Heber,32.73,-115.53,52.68,47.52,46.4,61,1016,50,1581182154,3.53,153,US,,,1,721,Haze,haze,50d
5345609,El Centro,32.79,-115.56,55.22,48.81,46.4,64.99,1016,50,1581182154,6.42,137,US,,,1,721,Haze,haze,50d
5359052,Imperial,32.85,-115.57,55.31,48.92,46.4,64.99,1016,50,1581182154,6.42,137,US,,,1,721,Haze,haze,50d
