city,lat,lng,station,avg temp F August 2018,zips
Freedom Acres,34.3199,-111.3051,PAYSON ,82,85541
Teec Nos Pos,36.9221,-109.0753,TEEC NOS POS,84.5,86514
Crozier,35.4227,-113.6486,MUSIC MOUNTAIN ,81,86437 86434
Avondale,33.3858,-112.3236,LITCHFIELD PARK,98.5,85323 85392 85329
Alpine,33.8461,-109.1432,ALPINE,64,85920
Elfrida,31.6858,-109.6896,MC NEAL,85,85610
North Fork,33.9965,-109.9593,PINETOP 2E,70.5,85941
Kaibito,36.592,-111.1071,PAGE MUNICIPAL AP,90,86053
Lower Santan Village,33.1427,-111.7853,CASA GRANDE NATL MONUMENT,93.5,85147
St. David,31.8992,-110.2251,BENSON,83,85630
Ash Fork,35.2171,-112.4913,WILLIAMS,71.5,86320
Poston,33.9921,-114.4046,PARKER,100.5,85371
Drysdale,32.6452,-114.7067,YUMA MCAS - COOP,98.5,85365
Heber-Overgaard,34.4141,-110.5696,HEBER ,73.5,85933 85928
Three Points,32.0596,-111.2865,ANVIL RANCH,88.5,85735 85736
Seligman,35.3256,-112.8573,SELIGMAN,78,86337
Sacate Village,33.1416,-111.98100000000001,PHOENIX AIRPORT,101,85339 85121
Burnside,35.7534,-109.6248,CANYON DE CHELLY,81.5,86505
Tuba City,36.125,-111.2467,WUPATKI NM,88.5,86045
Roosevelt,33.6618,-111.1295,WORKMAN CREEK,68.5,85545
Winslow,35.0252,-110.7098,WINSLOW MUNICIPAL AP,84.5,86047
Crystal Beach,34.5714,-114.3926,LAKE HAVASU CITY,94,86404
Scottsdale,33.6872,-111.8651,SCOTTSDALE MUNICIPAL AP,98.5,85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271
Mesa,33.4017,-111.7181,MESA,96,85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210 85211 85214 85216 85274 85275 85277
Greer,34.0053,-109.4611,BALDY,63,85927
Kohls Ranch,34.321,-111.0838,PROMONTORY ,69,85541
Tolleson,33.4484,-112.2561,LITCHFIELD PARK,98.5,85353
Maricopa,33.0404,-112.0006,ROBSON RANCH,96,85138 85139
Canyon Day,33.7826,-110.0328,MOUNTAIN LION ,70,85941
Chiawuli Tak,31.941,-111.7765,SELLES ,92,85634
Black Canyon City,34.0709,-112.12200000000001,SUNSET POINT ,87.5,85324
Hackberry,35.3401,-113.7256,KINGMAN AIRPORT,87.5,86411 86401
New Kingman-Butler,35.2645,-114.0091,KINGMAN AIRPORT,87.5,86409
Ajo,32.3923,-112.8839,AJO,95,85321
Surprise,33.68,-112.4524,WITTMANN,95.5,85361 85379 85388 85387 85374 85375 85378
Sun City West,33.6693,-112.3575,YOUNGTOWN,97,85375 85376
Dolan Springs,35.5904,-114.2852,UNION PASS ,90,86441
Marana,32.4355,-111.1558,TOHONO CHUL,89.5,85653 85741 85743 85742 85658 85652 85740
San Miguel,31.6295,-111.7801,SASABE ,85,85634
Tusayan,35.955,-112.1202,TUSAYAN ,71.5,86023
Holbrook,34.9044,-110.1672,PETRIFIED FOREST NP,78,86025
Seven Mile,33.7882,-109.9576,MOUNTAIN LION ,70,85941 85926
Wet Camp Village,33.1413,-111.9004,TEMPE,96,85121
Gilbert,33.3103,-111.7463,MESA,96,85233 85234 85297 85296 85295 85298 85236 85299
Winkelman,32.9853,-110.7651,HORSE CAMP CANYON ,88,85192
