city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Freedom Acres,Freedom Acres,AZ,Arizona,4007,Gila,4007,Gila,34.3199,-111.3051,113,24,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027968
Teec Nos Pos,Teec Nos Pos,AZ,Arizona,4001,Apache,4001,Apache,36.9221,-109.0753,711,19,polygon,FALSE,FALSE,America/Denver,3,86514,1840019007
Crozier,Crozier,AZ,Arizona,4015,Mohave,4015,Mohave,35.4227,-113.6486,25,9,polygon,FALSE,FALSE,America/Phoenix,3,86437 86434,1840023176
Avondale,Avondale,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.3858,-112.3236,217192,716,polygon,FALSE,TRUE,America/Phoenix,2,85323 85392 85329,1840019310
Alpine,Alpine,AZ,Arizona,4001,Apache,4001,Apache,33.8461,-109.1432,86,55,polygon,FALSE,FALSE,America/Phoenix,3,85920,1840022617
Elfrida,Elfrida,AZ,Arizona,4003,Cochise,4003,Cochise,31.6858,-109.6896,347,34,polygon,FALSE,FALSE,America/Phoenix,3,85610,1840023086
North Fork,North Fork,AZ,Arizona,4017,Navajo,4017,Navajo,33.9965,-109.9593,1634,10,polygon,FALSE,TRUE,America/Phoenix,3,85941,1840075412
Kaibito,Kaibito,AZ,Arizona,4005,Coconino,4005,Coconino,36.592,-111.1071,1712,41,polygon,FALSE,FALSE,America/Denver,3,86053,1840017664
Lower Santan Village,Lower Santan Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.1427,-111.7853,395,36,polygon,FALSE,TRUE,America/Phoenix,3,85147,1840042769
St. David,St. David,AZ,Arizona,4003,Cochise,4003,Cochise,31.8992,-110.2251,1667,120,polygon,FALSE,FALSE,America/Phoenix,3,85630,1840019493
Ash Fork,Ash Fork,AZ,Arizona,4025,Yavapai,4025,Yavapai,35.2171,-112.4913,824,137,polygon,FALSE,FALSE,America/Phoenix,3,86320,1840017844
Poston,Poston,AZ,Arizona,4012,La Paz,4012,La Paz,33.9921,-114.4046,312,88,polygon,FALSE,FALSE,America/Phoenix,3,85371,1840019268
Drysdale,Drysdale,AZ,Arizona,4027,Yuma,4027,Yuma,32.6452,-114.7067,449,1059,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075320
Heber-Overgaard,Heber-Overgaard,AZ,Arizona,4017,Navajo,4017,Navajo,34.4141,-110.5696,2408,135,polygon,FALSE,TRUE,America/Phoenix,3,85933 85928,1840074050
Three Points,Three Points,AZ,Arizona,4019,Pima,4019,Pima,32.0596,-111.2865,5453,45,polygon,FALSE,FALSE,America/Phoenix,3,85735 85736,1840019486
Seligman,Seligman,AZ,Arizona,4025,Yavapai,4025,Yavapai,35.3256,-112.8573,471,28,polygon,FALSE,FALSE,America/Phoenix,3,86337,1840019164
Sacate Village,Sacate Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.1416,-111.981,177,19,polygon,FALSE,TRUE,America/Phoenix,3,85339 85121,1840042772
Burnside,Burnside,AZ,Arizona,4001,Apache,4001,Apache,35.7534,-109.6248,629,26,polygon,FALSE,FALSE,America/Denver,3,86505,1840027977
Tuba City,Tuba City,AZ,Arizona,4005,Coconino,4005,Coconino,36.125,-111.2467,9022,388,polygon,FALSE,FALSE,America/Denver,3,86045,1840018972
Roosevelt,Roosevelt,AZ,Arizona,4007,Gila,4007,Gila,33.6618,-111.1295,60,8,polygon,FALSE,FALSE,America/Phoenix,3,85545,1840022866
Winslow,Winslow,AZ,Arizona,4017,Navajo,4017,Navajo,35.0252,-110.7098,9508,295,polygon,FALSE,TRUE,America/Phoenix,3,86047,1840021583
Crystal Beach,Crystal Beach,AZ,Arizona,4015,Mohave,4015,Mohave,34.5714,-114.3926,135,154,polygon,FALSE,TRUE,America/Los_Angeles,3,86404,1840075284
Scottsdale,Scottsdale,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.6872,-111.8651,249950,524,polygon,FALSE,TRUE,America/Phoenix,2,85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271,1840021940
Mesa,Mesa,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.4017,-111.7181,496401,1388,polygon,FALSE,TRUE,America/Phoenix,2,85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210 85211 85214 85216 85274 85275 85277,1840020566
Greer,Greer,AZ,Arizona,4001,Apache,4001,Apache,34.0053,-109.4611,40,29,polygon,FALSE,FALSE,America/Phoenix,3,85927,1840022621
Kohls Ranch,Kohls Ranch,AZ,Arizona,4007,Gila,4007,Gila,34.321,-111.0838,106,34,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022865
Tolleson,Tolleson,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.4484,-112.2561,7205,482,polygon,FALSE,TRUE,America/Phoenix,3,85353,1840021943
Maricopa,Maricopa,AZ,Arizona,4021,Pinal,4021,Pinal,33.0404,-112.0006,46741,433,polygon,FALSE,TRUE,America/Phoenix,3,85138 85139,1840020629
Canyon Day,Canyon Day,AZ,Arizona,4007,Gila,4007,Gila,33.7826,-110.0328,1293,99,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840017945
Chiawuli Tak,Chiawuli Tak,AZ,Arizona,4019,Pima,4019,Pima,31.941,-111.7765,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023067
Black Canyon City,Black Canyon City,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.0709,-112.122,2892,46,polygon,FALSE,FALSE,America/Phoenix,3,85324,1840017847
Hackberry,Hackberry,AZ,Arizona,4015,Mohave,4015,Mohave,35.3401,-113.7256,101,2,polygon,FALSE,FALSE,America/Phoenix,3,86411 86401,1840023178
New Kingman-Butler,New Kingman-Butler,AZ,Arizona,4015,Mohave,4015,Mohave,35.2645,-114.0091,13060,1014,polygon,FALSE,TRUE,America/Phoenix,3,86409,1840037118
Ajo,Ajo,AZ,Arizona,4019,Pima,4019,Pima,32.3923,-112.8839,3525,40,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840018107
Surprise,Surprise,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.68,-112.4524,134085,478,polygon,FALSE,TRUE,America/Phoenix,2,85361 85379 85388 85387 85374 85375 85378,1840021941
